Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
Year/Year,,-0.5%,0.4%,2.4%,-0.008,4.0%,6.1%,-0.007,-0.4%,1.2%,-0.008,-0.9%,-0.6%,-0.002,9.7%,0.7%,2.9%,2.1%,4.8%,-14.3%,7.9%,-2.7%,0.4%,2015
Team,82.0,19880,3489,7159,0.487,1077,2592,0.416,2412,4567,0.528,1366,1790,0.763,816,2972,3788,2373,689,498,1245,1701,9421,2016
Team/G,,242.4,42.5,87.3,0.487,13.1,31.6,0.416,29.4,55.7,0.528,16.7,21.8,0.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,2016
Lg Rank,,5,1,3,1.0,1,1,1.0,16,26,1.0,22,23,16.0,21,1,4,1,9,2,24,19,1,2016
Year/Year,,0.8%,2.3%,0.3%,0.01,22.0%,16.9%,0.017,-4.6%,-7.2%,0.015,4.0%,4.7%,-0.005,-4.3%,5.6%,3.3%,5.6%,-9.6%,0.4%,5.1%,4.5%,4.5%,2016
Opponent,82.0,19880,3188,7330,0.435,640,1928,0.332,2548,5402,0.472,1523,2013,0.757,937,2662,3599,1823,710,336,1185,1627,8539,2016
Opponent/G,,242.4,38.9,89.4,0.435,7.8,23.5,0.332,31.1,65.9,0.472,18.6,24.5,0.757,11.4,32.5,43.9,22.2,8.7,4.1,14.5,19.8,104.1,2016
Lg Rank,,5,21,29,3.0,6,13,2.0,25,29,4.0,22,23,17.0,25,9,15,16,24,3,15,19,19,2016
Year/Year,,0.8%,5.2%,3.5%,0.007,8.1%,9.7%,-0.005,4.5%,1.4%,0.014,-0.7%,0.1%,-0.006,-2.7%,-1.0%,-1.5%,6.1%,4.4%,14.7%,-10.8%,5.6%,4.3%,2016
Team,82.0,19780,3532,7140,0.495,982,2562,0.383,2550,4578,0.557,1457,1850,0.788,770,2873,3643,2491,785,555,1211,1585,9503,2017
Team/G,,241.2,43.1,87.1,0.495,12.0,31.2,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,2017
Lg Rank,,18,1,9,1.0,4,5,3.0,5,22,1.0,17,18,11.0,20,3,7,1,1,1,22,12,1,2017
Year/Year,,-0.5%,1.2%,-0.3%,0.007,-8.8%,-1.2%,-0.032,5.7%,0.2%,0.029,6.7%,3.4%,0.024,-5.6%,-3.3%,-3.8%,5.0%,13.9%,11.4%,-2.7%,-6.8%,0.9%,2017
Opponent,82.0,19780,3181,7311,0.435,737,2277,0.324,2444,5034,0.485,1450,1905,0.761,963,2604,3567,1862,705,313,1272,1588,8549,2017
Opponent/G,,241.2,38.8,89.2,0.435,9.0,27.8,0.324,29.8,61.4,0.485,17.7,23.2,0.761,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3,2017
Lg Rank,,18,14,29,1.0,8,20,1.0,17,27,3.0,14,15,3.0,30,6,14,14,28,4,1,22,11,2017
Year/Year,,-0.5%,-0.2%,-0.3%,0.0,15.2%,18.1%,-0.008,-4.1%,-6.8%,0.014,-4.8%,-5.4%,0.005,2.8%,-2.2%,-0.9%,2.1%,-0.7%,-6.8%,7.3%,-2.4%,0.1%,2017
Team,82.0,19730,3509,6981,0.503,926,2370,0.391,2583,4611,0.56,1360,1668,0.815,691,2877,3568,2402,656,612,1267,1607,9304,2018
Team/G,,240.6,42.8,85.1,0.503,11.3,28.9,0.391,31.5,56.2,0.56,16.6,20.3,0.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5,2018
Lg Rank,,23,1,24,1.0,8,17,1.0,5,20,1.0,18,22,1.0,28,7,17,1,9,1,26,15,1,2018
Year/Year,,-0.3%,-0.7%,-2.2%,0.008,-5.7%,-7.5%,0.007,1.3%,0.7%,0.003,-6.7%,-9.8%,0.028,-10.3%,0.1%,-2.1%,-3.6%,-16.4%,10.3%,4.6%,1.4%,-2.1%,2018
Opponent,82.0,19730,3296,7380,0.447,853,2392,0.357,2443,4988,0.49,1369,1807,0.758,893,2592,3485,1934,717,301,1175,1516,8814,2018
Opponent/G,,240.6,40.2,90.0,0.447,10.4,29.2,0.357,29.8,60.8,0.49,16.7,22.0,0.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5,2018
Lg Rank,,23,18,29,3.0,13,13,10.0,22,28,6.0,19,19,8.0,30,1,8,17,30,1,14,25,18,2018
Year/Year,,-0.3%,3.6%,0.9%,0.012,15.7%,5.1%,0.033,-0.0%,-0.9%,0.004,-5.6%,-5.1%,-0.004,-7.3%,-0.5%,-2.3%,3.9%,1.7%,-3.8%,-7.6%,-4.5%,3.1%,2018
Team,82.0,19805,3612,7361,0.491,1087,2824,0.385,2525,4537,0.557,1339,1672,0.801,797,2990,3787,2413,625,525,1169,1757,9650,2019
Team/G,,241.5,44.0,89.8,0.491,13.3,34.4,0.385,30.8,55.3,0.557,16.3,20.4,0.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,2019
Lg Rank,,15,1,13,1.0,3,8,3.0,12,22,2.0,23,28,5.0,21,3,11,1,15,1,21,22,2,2019
Year/Year,,0.4%,2.9%,5.4%,-0.012,17.4%,19.2%,-0.006,-2.2%,-1.6%,-0.004,-1.5%,0.2%,-0.015,15.3%,3.9%,6.1%,0.5%,-4.7%,-14.2%,-7.7%,9.3%,3.7%,2019
Opponent,82.0,19805,3315,7471,0.444,955,2753,0.347,2360,4718,0.5,1535,1987,0.773,886,2750,3636,1989,630,295,1105,1601,9120,2019
Opponent/G,,241.5,40.4,91.1,0.444,11.6,33.6,0.347,28.8,57.5,0.5,18.7,24.2,0.773,10.8,33.5,44.3,24.3,7.7,3.6,13.5,19.5,111.2,2019
Lg Rank,,15,11,24,3.0,17,25,11.0,7,20,4.0,24,24,23.0,21,5,10,12,19,1,19,27,16,2019
Year/Year,,0.4%,0.6%,1.2%,-0.003,12.0%,15.1%,-0.01,-3.4%,-5.4%,0.01,12.1%,10.0%,0.015,-0.8%,6.1%,4.3%,2.8%,-12.1%,-2.0%,-6.0%,5.6%,3.5%,2019
Team,65.0,15725,2510,5730,0.438,678,2032,0.334,1832,3698,0.495,1214,1511,0.803,647,2138,2785,1663,534,299,969,1304,6912,2020
Team/G,,241.9,38.6,88.2,0.438,10.4,31.3,0.334,28.2,56.9,0.495,18.7,23.2,0.803,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3,2020
Lg Rank,,27,29,21,29.0,28,25,29.0,19,8,29.0,9,16,4.0,18,26,24,9,7,20,19,10,28,2020
Year/Year,,0.2%,-12.3%,-1.8%,-0.053,-21.3%,-9.2%,-0.051,-8.5%,2.8%,-0.061,14.4%,14.0%,0.003,2.4%,-9.8%,-7.2%,-13.1%,7.8%,-28.2%,4.6%,-6.4%,-9.6%,2020
Opponent,65.0,15725,2743,5760,0.476,879,2261,0.389,1864,3499,0.533,1113,1422,0.783,661,2359,3020,1698,536,321,1016,1308,7478,2020
Opponent/G,,241.9,42.2,88.6,0.476,13.5,34.8,0.389,28.7,53.8,0.533,17.1,21.9,0.783,10.2,36.3,46.5,26.1,8.2,4.9,15.6,20.1,115.0,2020
Lg Rank,,27,23,16,24.0,28,17,30.0,15,11,21.0,11,10,23.0,17,27,26,28,27,17,6,21,24,2020
Year/Year,,0.2%,4.4%,-2.7%,0.032,16.1%,3.6%,0.042,-0.4%,-6.4%,0.033,-8.5%,-9.7%,0.01,-5.9%,8.2%,4.8%,7.7%,7.3%,37.3%,16.0%,3.1%,3.4%,2020
