Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
Year/Year,,0.5%,3.2%,6.0%,-0.012,-9.2%,-7.7%,-0.006,6.8%,11.6%,-0.021,-2.5%,-7.6%,0.04,-10.2%,4.6%,0.7%,-5.2%,-5.3%,-6.1%,-12.8%,-6.2%,1.2%,2016
Team,82.0,19780,3202,7037,0.455,808,2213,0.365,2394,4824,0.496,1248,1768,0.706,872,2705,3577,1742,588,469,1102,1680,8460,2017
Team/G,,241.2,39.0,85.8,0.455,9.9,27.0,0.365,29.2,58.8,0.496,15.2,21.6,0.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2,2017
Lg Rank,,18,18,14,15.0,12,12,12.0,18,15,18.0,28,26,30.0,11,20,15,22,22,3,11,20,21,2017
Year/Year,,-0.3%,1.7%,5.1%,-0.015,62.2%,49.5%,0.029,-9.7%,-7.5%,-0.012,-11.2%,-6.4%,-0.038,8.1%,-3.8%,-1.1%,1.9%,6.3%,-11.7%,-4.6%,11.9%,3.1%,2017
Opponent,82.0,19780,3108,6904,0.45,639,1864,0.343,2469,5040,0.49,1518,1940,0.782,837,2737,3574,1611,556,398,1121,1530,8373,2017
Opponent/G,,241.2,37.9,84.2,0.45,7.8,22.7,0.343,30.1,61.5,0.49,18.5,23.7,0.782,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1,2017
Lg Rank,,18,6,10,7.0,1,1,3.0,20,28,5.0,19,17,27.0,14,18,15,2,5,14,19,27,5,2017
Year/Year,,-0.3%,1.8%,-0.1%,0.008,5.6%,7.0%,-0.004,0.8%,-2.6%,0.016,11.9%,10.2%,0.012,4.2%,6.1%,5.6%,-2.8%,-9.2%,18.1%,5.8%,-4.9%,3.8%,2017
Team,82.0,19930,3184,6997,0.455,903,2506,0.36,2281,4491,0.508,1209,1601,0.755,763,2801,3564,1862,620,437,1179,1648,8480,2018
Team/G,,243.0,38.8,85.3,0.455,11.0,30.6,0.36,27.8,54.8,0.508,14.7,19.5,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,2018
Lg Rank,,2,19,23,17.0,11,9,16.0,22,22,15.0,26,25,22.0,21,13,18,17,21,6,16,20,23,2018
Year/Year,,0.8%,-0.6%,-0.6%,0.0,11.8%,13.2%,-0.005,-4.7%,-6.9%,0.012,-3.1%,-9.4%,0.049,-12.5%,3.5%,-0.4%,6.9%,5.4%,-6.8%,7.0%,-1.9%,0.2%,2018
Opponent,82.0,19930,3090,6873,0.45,785,2181,0.36,2305,4692,0.491,1476,1885,0.783,744,2791,3535,1720,616,378,1160,1587,8441,2018
Opponent/G,,243.0,37.7,83.8,0.45,9.6,26.6,0.36,28.1,57.2,0.491,18.0,23.0,0.783,9.1,34.0,43.1,21.0,7.5,4.6,14.1,19.4,102.9,2018
Lg Rank,,2,4,6,7.0,6,6,13.0,8,16,7.0,25,22,26.0,6,19,15,3,13,10,18,21,4,2018
Year/Year,,0.8%,-0.6%,-0.4%,-0.001,22.8%,17.0%,0.017,-6.6%,-6.9%,0.001,-2.8%,-2.8%,0.001,-11.1%,2.0%,-1.1%,6.8%,10.8%,-5.0%,3.5%,3.7%,0.8%,2018
Team,82.0,19730,3251,7218,0.45,928,2658,0.349,2323,4560,0.509,1238,1782,0.695,921,2879,3800,1991,627,448,1208,1712,8668,2019
Team/G,,240.6,39.6,88.0,0.45,11.3,32.4,0.349,28.3,55.6,0.509,15.1,21.7,0.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7,2019
Lg Rank,,27,24,21,22.0,15,14,21.0,22,20,20.0,29,22,30.0,7,15,10,17,14,4,23,15,26,2019
Year/Year,,-1.0%,2.1%,3.2%,-0.005,2.8%,6.1%,-0.011,1.8%,1.5%,0.002,2.4%,11.3%,-0.06,20.7%,2.8%,6.6%,6.9%,1.1%,2.5%,2.5%,3.9%,2.2%,2019
Opponent,82.0,19730,3141,7116,0.441,973,2717,0.358,2168,4399,0.493,1432,1861,0.769,831,2792,3623,1913,612,389,1159,1652,8687,2019
Opponent/G,,240.6,38.3,86.8,0.441,11.9,33.1,0.358,26.4,53.6,0.493,17.5,22.7,0.769,10.1,34.0,44.2,23.3,7.5,4.7,14.1,20.1,105.9,2019
Lg Rank,,27,2,6,2.0,21,21,17.0,2,2,2.0,14,13,18.0,13,7,9,4,15,11,13,22,2,2019
Year/Year,,-1.0%,1.7%,3.5%,-0.008,23.9%,24.6%,-0.002,-5.9%,-6.2%,0.002,-3.0%,-1.3%,-0.014,11.7%,0.0%,2.5%,11.2%,-0.6%,2.9%,-0.1%,4.1%,2.9%,2019
Team,73.0,17745,2880,6160,0.468,979,2584,0.379,1901,3576,0.532,1440,1840,0.783,620,2619,3239,1892,547,332,1088,1501,8179,2020
Team/G,,243.1,39.5,84.4,0.468,13.4,35.4,0.379,26.0,49.0,0.532,19.7,25.2,0.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0,2020
Lg Rank,,3,26,30,10.0,6,9,2.0,28,29,8.0,5,4,13.0,29,6,17,5,18,21,18,13,15,2020
Year/Year,,1.0%,-0.5%,-4.1%,0.017,18.5%,9.2%,0.03,-8.1%,-11.9%,0.022,30.7%,16.0%,0.088,-24.4%,2.2%,-4.3%,6.7%,-2.0%,-16.8%,1.2%,-1.5%,6.0%,2020
Opponent,73.0,17745,2831,6326,0.448,956,2753,0.347,1875,3573,0.525,1346,1720,0.783,674,2431,3105,1794,545,302,1022,1584,7964,2020
Opponent/G,,243.1,38.8,86.7,0.448,13.1,37.7,0.347,25.7,48.9,0.525,18.4,23.6,0.783,9.2,33.3,42.5,24.6,7.5,4.1,14.0,21.7,109.1,2020
Lg Rank,,3,3,6,7.0,24,28,6.0,3,1,15.0,18,16,22.0,5,6,3,15,13,4,21,7,10,2020
Year/Year,,1.0%,1.2%,-0.1%,0.006,10.4%,13.8%,-0.011,-2.9%,-8.8%,0.032,5.6%,3.8%,0.013,-8.9%,-2.2%,-3.7%,5.3%,0.0%,-12.8%,-0.9%,7.7%,3.0%,2020
