Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
9,Rashard Lewis,34,60,971,0.415,17.1,,0.432,0.136,0.157,0.072,0.068,0.568,,0.51,0.75,0.405,0.529,0.25,0.343,,0.577,1.0,,0.017,4,,0.642,0.395,,0,0,2014
10,Michael Beasley,25,55,831,0.499,11.3,,0.848,0.307,0.206,0.132,0.203,0.152,,0.518,0.67,0.521,0.383,0.375,0.389,,0.551,1.0,,0.062,19,,0.352,0.474,,0,0,2014
11,Udonis Haslem,33,46,653,0.507,8.8,,1.0,0.507,0.041,0.089,0.363,0.0,,0.507,0.649,0.167,0.308,0.396,,,0.838,,,0.068,8,,,,,0,0,2014
12,Toney Douglas,27,27,410,0.394,13.6,,0.587,0.346,0.087,0.048,0.106,0.413,,0.475,0.556,0.222,0.6,0.364,0.279,,0.448,0.917,,0.0,0,,0.442,0.211,,0,0,2014
13,Roger Mason,33,25,260,0.373,22.2,,0.284,0.06,0.0,0.0,0.224,0.716,,0.421,0.0,,,0.533,0.354,,0.625,0.882,,0.0,0,,0.438,0.381,,0,0,2014
14,James Jones,33,20,236,0.456,22.0,,0.206,0.059,0.0,0.044,0.103,0.794,,0.214,0.5,,0.333,0.0,0.519,,0.333,1.0,,0.0,0,,0.574,0.645,,0,0,2014
15,Greg Oden,26,23,212,0.551,3.1,,1.0,0.714,0.245,0.041,0.0,0.0,,0.551,0.686,0.25,0.0,,,,0.778,,,0.51,20,,,,,0,0,2014
16,Justin Hamilton,23,7,68,0.45,15.6,,0.55,0.2,0.2,0.0,0.15,0.45,,0.545,0.75,0.75,,0.0,0.333,,0.833,1.0,,0.05,1,,0.111,0.0,,0,0,2014
17,Joel Anthony,31,12,37,0.333,8.3,,1.0,0.333,0.167,0.333,0.167,0.0,,0.333,0.5,1.0,0.0,0.0,,,0.5,,,0.0,0,,,,,0,0,2014
18,DeAndre Liggins,25,1,1,1.0,8.0,,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,,1.0,,,,,0.0,,,0.0,0,,,,,0,0,2014
1,Luol Deng,29,72,2421,0.469,12.5,,0.72,0.309,0.122,0.098,0.192,0.28,,0.513,0.646,0.458,0.377,0.404,0.355,,0.595,0.974,,0.028,21,,0.5,0.436,,2,0,2015
2,Mario Chalmers,28,80,2368,0.403,13.1,,0.626,0.306,0.166,0.065,0.089,0.374,,0.467,0.532,0.418,0.419,0.373,0.294,,0.366,0.932,,0.006,4,,0.375,0.366,,7,1,2015
3,Dwyane Wade,33,62,1971,0.47,11.5,,0.906,0.23,0.189,0.204,0.283,0.094,,0.489,0.683,0.488,0.425,0.378,0.284,,0.342,0.483,,0.024,25,,0.176,0.333,,1,0,2015
4,Chris Bosh,30,44,1556,0.46,14.3,,0.774,0.166,0.114,0.199,0.295,0.226,,0.485,0.556,0.471,0.48,0.455,0.375,,0.518,0.984,,0.024,17,,0.119,0.35,,0,0,2015
5,Norris Cole,26,47,1148,0.386,13.6,,0.667,0.297,0.101,0.069,0.199,0.333,,0.446,0.538,0.323,0.429,0.377,0.265,,0.407,0.852,,0.003,1,,0.284,0.172,,0,0,2015
6,Hassan Whiteside,25,48,1142,0.628,3.7,,1.0,0.53,0.354,0.093,0.023,0.0,,0.628,0.761,0.482,0.5,0.333,,,0.584,,,0.235,86,,,,,0,0,2015
7,Chris Andersen,36,60,1132,0.58,5.2,,0.937,0.705,0.087,0.043,0.101,0.063,,0.598,0.671,0.389,0.333,0.381,0.308,,0.784,1.0,,0.271,52,,0.538,0.571,,3,0,2015
8,James Ennis III,24,62,1051,0.409,12.7,,0.615,0.372,0.105,0.024,0.113,0.385,,0.461,0.587,0.269,0.333,0.25,0.326,,0.6,0.935,,0.093,20,,0.453,0.349,,1,0,2015
9,Shabazz Napier,23,51,1012,0.382,18.1,,0.482,0.154,0.061,0.053,0.215,0.518,,0.4,0.457,0.143,0.5,0.408,0.364,,0.182,0.791,,0.0,0,,0.254,0.367,,1,0,2015
10,Udonis Haslem,34,62,995,0.448,8.3,,0.958,0.444,0.117,0.117,0.28,0.042,,0.459,0.566,0.464,0.286,0.358,0.2,,0.695,1.0,,0.067,14,,1.0,0.2,,0,0,2015
11,Shawne Williams,28,44,924,0.425,18.8,,0.367,0.142,0.029,0.054,0.142,0.633,,0.477,0.559,0.429,0.385,0.441,0.395,,0.595,0.983,,0.008,2,,0.487,0.378,,0,0,2015
12,Goran Dragić,28,26,905,0.502,10.0,,0.774,0.437,0.099,0.142,0.096,0.226,,0.552,0.688,0.438,0.348,0.355,0.329,,0.283,0.75,,0.0,0,,0.205,0.467,,0,0,2015
13,Henry Walker,27,24,628,0.345,20.6,,0.214,0.107,0.06,0.03,0.018,0.786,,0.361,0.556,0.0,0.4,0.333,0.341,,0.538,0.956,,0.024,3,,0.189,0.24,,1,0,2015
14,Danny Granger,31,30,613,0.401,17.6,,0.481,0.154,0.049,0.093,0.185,0.519,,0.449,0.56,0.5,0.4,0.367,0.357,,0.571,0.933,,0.006,1,,0.298,0.4,,0,0,2015
15,Tyler Johnson,22,32,603,0.419,13.0,,0.713,0.293,0.174,0.066,0.18,0.287,,0.437,0.592,0.31,0.455,0.3,0.375,,0.442,0.944,,0.084,10,,0.25,0.417,,1,0,2015
16,Michael Beasley,26,24,505,0.434,12.1,,0.84,0.208,0.184,0.226,0.222,0.16,,0.472,0.614,0.513,0.458,0.319,0.235,,0.357,1.0,,0.033,7,,0.294,0.5,,0,0,2015
