Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 14_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 21_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 24_level_0,Dunks,Dunks,Unnamed: 27_level_0,Corner 3s,Corner 3s,Unnamed: 30_level_0,Heaves,Heaves,year
Rk,Player,Age,G,MP,FG%,Dist.,Unnamed: 7_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 14_level_1,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 21_level_1,2P,3P,Unnamed: 24_level_1,%FGA,#,Unnamed: 27_level_1,%3PA,3P%,Unnamed: 30_level_1,Att.,#,
3,Dorell Wright,26,61,1650,0.422,17.5,,0.445,0.224,0.061,0.044,0.116,0.555,,0.5,0.712,0.25,0.435,0.246,0.36,,0.556,0.943,,0.055,28,,0.363,0.415,,2,0,2012
4,Klay Thompson,21,66,1608,0.443,17.2,,0.627,0.153,0.084,0.074,0.316,0.373,,0.46,0.7,0.217,0.434,0.414,0.414,,0.623,0.928,,0.018,12,,0.213,0.474,,1,0,2012
5,Monta Ellis,26,37,1365,0.433,14.1,,0.778,0.237,0.118,0.125,0.298,0.222,,0.465,0.623,0.349,0.489,0.376,0.321,,0.333,0.7,,0.027,16,,0.269,0.5,,2,0,2012
6,Nate Robinson,27,51,1192,0.424,16.5,,0.626,0.163,0.136,0.107,0.219,0.374,,0.459,0.658,0.364,0.423,0.387,0.365,,0.187,0.697,,0.0,0,,0.133,0.458,,3,1,2012
7,Dominic McGuire,26,64,1127,0.448,8.8,,0.981,0.443,0.167,0.076,0.295,0.019,,0.456,0.559,0.314,0.563,0.355,0.0,,0.606,,,0.11,21,,0.0,,,1,0,2012
8,Charles Jenkins,22,51,893,0.447,14.3,,0.931,0.216,0.127,0.058,0.529,0.069,,0.469,0.524,0.297,0.529,0.481,0.15,,0.339,0.667,,0.0,0,,0.15,0.0,,1,0,2012
9,Ekpe Udoh,24,38,827,0.443,8.2,,1.0,0.243,0.432,0.168,0.157,0.0,,0.443,0.556,0.413,0.355,0.448,,,0.573,,,0.059,11,,,,,0,0,2012
10,Andris Biedriņš,25,47,739,0.609,3.4,,1.0,0.594,0.359,0.047,0.0,0.0,,0.609,0.737,0.478,0.0,,,,0.769,,,0.203,13,,,,,0,0,2012
11,Stephen Curry,23,26,732,0.49,18.0,,0.591,0.108,0.101,0.081,0.301,0.409,,0.514,0.563,0.267,0.292,0.64,0.455,,0.333,0.782,,0.0,0,,0.19,0.652,,0,0,2012
12,Richard Jefferson,31,22,580,0.42,19.1,,0.533,0.077,0.083,0.083,0.29,0.467,,0.422,0.923,0.143,0.429,0.367,0.418,,0.526,0.97,,0.036,6,,0.228,0.5,,1,0,2012
13,Jeremy Tyler,20,42,568,0.421,6.6,,0.995,0.416,0.301,0.172,0.105,0.005,,0.423,0.575,0.333,0.278,0.318,0.0,,0.568,,,0.105,16,,0.0,,,0,0,2012
14,Mickell Gladness,25,18,224,0.429,6.6,,1.0,0.446,0.232,0.214,0.107,0.0,,0.429,0.56,0.308,0.333,0.333,,,0.75,,,0.179,8,,,,,0,0,2012
15,Kwame Brown,29,9,187,0.525,2.9,,1.0,0.725,0.225,0.05,0.0,0.0,,0.525,0.655,0.111,0.5,,,,0.762,,,0.125,4,,,,,0,0,2012
16,Chris Wright,23,24,186,0.511,3.6,,1.0,0.689,0.178,0.044,0.089,0.0,,0.511,0.581,0.5,0.5,0.0,,,0.739,,,0.333,13,,,,,0,0,2012
17,Mikki Moore,36,7,118,0.45,11.7,,1.0,0.25,0.15,0.15,0.45,0.0,,0.45,0.4,1.0,0.667,0.222,,,0.889,,,0.05,1,,,,,0,0,2012
18,Ish Smith,23,6,63,0.4,11.6,,0.833,0.167,0.4,0.1,0.167,0.167,,0.4,0.4,0.5,0.0,0.4,0.4,,0.4,1.0,,0.0,0,,0.0,,,0,0,2012
19,Earl Barron,30,2,9,0.5,9.1,,1.0,0.25,0.5,0.0,0.25,0.0,,0.5,1.0,0.5,,0.0,,,0.5,,,0.0,0,,,,,0,0,2012
20,Keith Benson,23,3,9,0.0,1.7,,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,0.0,0,,,,,0,0,2012
1,Stephen Curry,24,78,2983,0.451,18.5,,0.568,0.1,0.103,0.099,0.265,0.432,,0.449,0.583,0.343,0.457,0.438,0.453,,0.251,0.614,,0.002,3,,0.147,0.523,,6,0,2013
2,Klay Thompson,22,82,2936,0.422,17.8,,0.563,0.145,0.063,0.107,0.248,0.437,,0.437,0.617,0.25,0.349,0.418,0.401,,0.751,0.948,,0.013,15,,0.291,0.458,,3,0,2013
3,David Lee,29,79,2907,0.519,7.8,,0.997,0.387,0.291,0.116,0.203,0.003,,0.521,0.686,0.412,0.415,0.421,0.0,,0.683,,,0.059,65,,0.0,,,2,0,2013
4,Jarrett Jack,29,79,2349,0.452,15.8,,0.763,0.089,0.18,0.187,0.308,0.237,,0.466,0.592,0.442,0.456,0.451,0.404,,0.22,0.683,,0.0,0,,0.167,0.441,,4,1,2013
5,Harrison Barnes,20,81,2058,0.439,11.4,,0.769,0.323,0.204,0.111,0.131,0.231,,0.464,0.685,0.359,0.2,0.305,0.359,,0.567,0.923,,0.115,67,,0.297,0.442,,0,0,2013
6,Carl Landry,29,81,1876,0.54,7.8,,0.995,0.444,0.191,0.154,0.206,0.005,,0.541,0.7,0.348,0.462,0.435,0.333,,0.667,1.0,,0.096,54,,0.333,0.0,,1,0,2013
